TIME,TEMPERATURE_IN_BME,TEMPERATURE_IN_SCD,TEMPERATURE_IN_DS,TEMPERATURE_OUT_BME,TEMPERATURE_OUT_SCD,TEMPERATURE_OUT_DS,TEMPERATURE_OUT_SFM,TEMPERATURE_C_BME,TEMPERATURE_C1_DS,TEMPERATURE_C2_DS,TEMPERATURE_C3_DS,HUMIDITY_IN_BME,HUMIDITY_IN_SCD,HUMIDITY_OUT_BME,HUMIDITY_OUT_SCD,CO2_IN_SCD,CO2_OUT_SCD,PRESSURE_IN_BME ,PRESSURE_OUT_BME,PRESSURE_C_BME,AIRFLOW_OUT_SFM
Tue Sep  6 05:34:47 2022,19.0,20.177383422851562,19.0,24.1,24.714271545410156,23.125,24.645,23.5,23.062,22.875,23.187,69.4 %,66.98760986328125,59.3 %,65.9698486328125,505.9638366699219,816.2257690429688,995.118,995.193,995.532,36.27058823529412
Tue Sep  6 05:35:48 2022,19.0,20.078582763671875,19.0,24.1,24.70092010498047,23.062,24.63,23.5,23.062,22.875,23.187,69.5 %,67.24700927734375,59.3 %,65.582275390625,505.0030822753906,818.7507934570312,995.093,995.227,995.589,36.688235294117646
Tue Sep  6 05:36:48 2022,19.0,20.06256103515625,19.0,24.1,24.714271545410156,23.062,24.605,23.5,23.062,22.812,23.187,69.7 %,67.46826171875,59.4 %,65.814208984375,504.5222473144531,821.2157592773438,995.100,995.251,995.561,36.55882352941177
Tue Sep  6 05:37:48 2022,18.9,20.035858154296875,18.937,24.1,24.70092010498047,23.062,24.615,23.5,23.062,22.812,23.125,69.8 %,67.5537109375,59.4 %,65.90576171875,504.2025146484375,821.5845336914062,995.162,995.235,995.563,36.1
Tue Sep  6 05:38:48 2022,18.9,19.990463256835938,18.937,24.1,24.70092010498047,23.062,24.61,23.5,23.062,22.812,23.125,70.0 %,67.82989501953125,59.3 %,65.7379150390625,504.45794677734375,822.8406982421875,995.155,995.296,995.587,37.01764705882353
Tue Sep  6 05:39:49 2022,18.9,20.01983642578125,18.937,24.1,24.65819549560547,23.062,24.66,23.5,23.062,22.812,23.125,70.0 %,67.65899658203125,59.3 %,65.6585693359375,508.31585693359375,819.3349609375,995.136,995.299,995.572,36.98235294117647
Tue Sep  6 05:40:49 2022,18.9,20.003814697265625,18.875,24.1,24.68756866455078,23.062,24.63,23.5,23.062,22.812,23.125,70.0 %,67.7520751953125,59.4 %,65.87066650390625,508.48663330078125,821.9981689453125,995.171,995.248,995.617,36.64705882352941
Tue Sep  6 05:41:49 2022,18.9,19.89166259765625,18.875,24.1,24.68756866455078,23.062,24.62,23.5,23.0,22.812,23.125,70.0 %,68.0084228515625,59.4 %,65.72723388671875,508.99468994140625,820.7085571289062,995.142,995.305,995.594,36.51764705882353
Tue Sep  6 05:42:49 2022,18.9,19.97711181640625,18.875,24.1,24.68756866455078,23.062,24.615,23.4,23.062,22.812,23.125,70.0 %,67.669677734375,59.3 %,65.8294677734375,510.41357421875,820.2675170898438,995.131,995.260,995.611,37.16470588235294
Tue Sep  6 05:43:49 2022,18.9,19.961090087890625,18.875,24.1,24.65819549560547,23.062,24.68,23.4,23.062,22.812,23.125,70.0 %,67.66815185546875,59.5 %,65.875244140625,508.4534912109375,822.0993041992188,995.159,995.290,995.608,36.23529411764706
Tue Sep  6 05:44:50 2022,18.8,19.961090087890625,18.812,24.1,24.671546936035156,23.062,24.645,23.4,23.062,22.812,23.125,70.0 %,67.7276611328125,59.4 %,65.8782958984375,508.2424011230469,825.3200073242188,995.186,995.313,995.668,37.188235294117646
Tue Sep  6 05:45:50 2022,18.9,19.961090087890625,18.875,24.1,24.671546936035156,23.0,24.565,23.4,23.062,22.812,23.062,70.2 %,68.08013916015625,59.4 %,65.83709716796875,509.1751708984375,825.280517578125,995.195,995.325,995.609,37.03529411764706
Tue Sep  6 05:46:50 2022,18.9,20.01983642578125,18.812,24.1,24.65819549560547,23.0,24.53,23.4,23.062,22.812,23.062,70.0 %,67.462158203125,59.5 %,65.948486328125,510.80023193359375,826.7660522460938,995.198,995.344,995.605,37.07058823529412
Tue Sep  6 05:47:50 2022,18.9,20.003814697265625,18.812,24.1,24.64484405517578,23.0,24.57,23.4,23.062,22.812,23.062,70.0 %,67.55828857421875,59.5 %,65.9149169921875,508.7167053222656,825.9882202148438,995.220,995.331,995.662,37.09411764705882
Tue Sep  6 05:48:51 2022,18.8,19.921035766601562,18.812,24.0,24.64484405517578,23.0,24.61,23.4,23.0,22.812,23.062,69.9 %,67.57354736328125,59.7 %,66.3177490234375,506.0126953125,827.2684326171875,995.252,995.342,995.735,36.076470588235296
Tue Sep  6 05:49:51 2022,18.8,19.89166259765625,18.812,24.0,24.631492614746094,23.0,24.565,23.4,23.062,22.812,23.062,69.9 %,67.608642578125,59.6 %,65.74554443359375,507.3565979003906,827.0039672851562,995.289,995.417,995.731,36.129411764705885
Tue Sep  6 05:50:51 2022,18.8,19.921035766601562,18.812,24.0,24.64484405517578,23.0,24.59,23.4,23.0,22.812,23.062,70.1 %,67.44537353515625,59.6 %,66.0797119140625,508.37139892578125,824.3084716796875,995.343,995.412,995.757,36.78823529411765
Tue Sep  6 05:51:51 2022,18.7,19.84893798828125,18.75,24.0,24.631492614746094,23.0,24.62,23.4,23.0,22.812,23.062,69.9 %,67.45452880859375,59.7 %,66.3055419921875,508.0573425292969,825.8685913085938,995.316,995.464,995.773,36.588235294117645
Tue Sep  6 05:52:52 2022,18.8,19.947738647460938,18.75,24.0,24.631492614746094,23.0,24.625,23.4,23.0,22.812,23.062,70.1 %,67.352294921875,59.7 %,66.162109375,511.50408935546875,825.7915649414062,995.350,995.447,995.812,36.14705882352941
Tue Sep  6 05:53:52 2022,18.8,19.990463256835938,18.812,24.0,24.61547088623047,23.0,24.53,23.4,23.0,22.812,23.0,69.9 %,67.0745849609375,59.8 %,66.55120849609375,515.7996826171875,826.0121459960938,995.346,995.490,995.838,37.01176470588236
Tue Sep  6 05:54:52 2022,18.8,20.003814697265625,18.812,24.0,24.60211944580078,23.0,24.6,23.4,23.0,22.75,23.062,69.6 %,66.78924560546875,59.8 %,66.15447998046875,515.289306640625,825.1031494140625,995.379,995.481,995.870,36.48235294117647
